Projektnummer           ;FCH-23250 - Geoterra Kft. - Ferihegy;;;
Sondierung              ;C10100/2;;;
Projektbezeichnung      ;;;;
Datum der Sondierung    ;04.dec.23;;;
;;;;
   Tiefe;    Conus;  Reibung; PW-Druck;       Rf
     (m);    (MPa);    (MPa);    (MPa);      (%)
0;0;0;0;0
0,02;1,2525;0;0;0
0,04;1,6319;0;0;0
0,06;1,8493;0,0202;-0,0002;1,1076
0,08;2,0026;0,0272;-0,0003;1,4189
0,1;2,2992;0,0356;-0,0006;1,8778
0,12;2,3785;0,0337;-0,0004;1,6149
0,14;2,8976;0,0319;-0,0002;1,352
0,16;3,3265;0,0301;0,0001;1,089
0,18;3,2376;0,0337;0,0002;1,0635
0,2;3,2096;0,0344;-0,001;1,0457
0,22;2,983;0,0309;-0,001;0,9834
0,24;2,7548;0,0325;-0,001;1,0317
0,26;2,5266;0,0312;-0,0009;1,0243
0,28;2,3521;0,0297;-0,001;1,2609
0,3;2,2653;0,0284;-0,0012;1,2521
0,32;2,2462;0,0304;-0,0015;1,3414
0,34;2,0126;0,0285;-0,0012;1,4089
0,36;1,8869;0,0265;-0,0014;1,3997
0,38;1,8053;0,0228;-0,0018;1,2628
0,4;1,6884;0,0193;-0,001;1,1375
0,42;1,5354;0,0178;-0,001;1,1441
0,44;1,4361;0,0166;-0,0011;1,1522
0,46;1,3649;0,0127;-0,0012;0,9279
0,48;1,3086;0,0126;-0,0009;0,9639
0,5;1,2758;0,0135;-0,0009;1,0619
0,52;1,3042;0,0154;-0,0008;1,1822
0,54;1,3826;0,0141;-0,0005;1,0483
0,56;1,4279;0,0124;-0,0003;0,8675
0,58;1,3824;0,0133;-0,0008;0,9596
0,6;1,3579;0,0283;-0,0004;2,0603
0,62;1,2897;0,031;-0,0005;2,3709
0,64;1,2392;0,0297;-0,0005;2,3518
0,66;1,2685;0,0312;-0,0003;2,4815
0,68;1,3427;0,032;-0,0007;2,3831
0,7;2,9236;0,0397;-0,0006;1,9484
0,72;4,0196;0,0475;-0,0005;1,5136
0,74;4,8019;0,0483;-0,0008;1,0911
0,76;5,5427;0,0405;-0,0007;0,7271
0,78;5,8943;0,0364;-0,0004;0,6015
0,8;4,8172;0,0592;-0,0002;1,0264
0,82;3,5341;0,0607;0,0001;1,0524
0,84;2,3328;0,0784;0,0002;2,0503
0,86;3,0573;0,0414;0,0002;1,4687
0,88;4,1333;0,0707;0,0004;1,7615
0,9;5,9158;0,0913;0,0002;1,7656
0,92;7,4111;0,0585;0,0002;0,8145
0,94;8,4112;0,0556;0,0001;0,7147
0,96;9,4466;0,0639;0,0001;0,7061
0,98;11,8036;0,0561;0,0003;0,5356
1;14,1743;0,0647;0,0004;0,4824
1,02;11,1717;0,091;0,0003;0,7291
1,04;10,7071;0,0818;0,0003;0,792
1,06;10,7604;0,0737;0,0003;0,71
1,08;10,7617;0,0506;0,0003;0,4865
1,1;11,0803;0,0356;0;0,3123
1,12;10,7967;0,0389;0,0002;0,3628
1,14;11,2231;0,0428;0,0001;0,4133
1,16;10,3577;0,0466;0,0001;0,4638
1,18;9,8098;0,0512;0,0001;0,5218
1,2;9,6488;0,0588;0,0003;0,6051
1,22;8,975;0,0933;0,0003;1,0336
1,24;9,8218;0,1138;0,0003;1,2684
1,26;10,6686;0,1096;0,0003;1,2218
1,28;11,5154;0,1441;0,0004;1,6061
1,3;12,7788;0,1665;0,0001;1,3706
1,32;14,9019;0,1486;-0,0006;1,0424
1,34;16,2403;0,179;0,0001;1,1414
1,36;13,7295;0,22;0,0013;1,4612
1,38;11,6799;0,2157;0,0024;1,9399
1,4;14,6942;0,1957;0,0012;1,3946
1,42;18,6719;0,1488;-0,0001;0,8614
1,44;20,8188;0,1407;-0,0002;0,731
1,46;21,5834;0,1475;0,0008;0,6657
1,48;21,1955;0,1645;0,0011;0,7846
1,5;22,7078;0,156;0,0022;0,7094
1,52;24,0594;0,1493;0,0008;0,6329
1,54;24,1241;0,1321;0,0014;0,5412
1,56;24,1854;0,1897;0,0009;0,7933
1,58;23,925;0,1973;0,0002;0,806
1,6;21,3921;0,185;-0,0008;0,7943
1,62;22,9097;0,1774;0,0014;0,7603
1,64;20,8144;0,1984;0,0005;0,9839
1,66;21,2808;0,2054;-0,0011;0,9933
1,68;23,5452;0,1634;0,0033;0,7074
1,7;23,6508;0,1631;0,0011;0,6828
1,72;21,6952;0,198;0,0006;0,8945
1,74;21,3453;0,2588;0,0015;1,1972
1,76;20,6967;0,259;0,0025;1,2594
1,78;21,7818;0,2536;0,0004;1,169
1,8;21,6523;0,232;0,0056;1,0741
1,82;22,5284;0,2526;0,0074;1,1273
1,84;24,5591;0,2511;0;1,0305
1,86;25,6464;0,219;-0,0001;0,8515
1,88;27,0394;0,1759;0,0009;0,6661
1,9;29,9018;0,1978;-0,0002;0,6684
1,92;32,3593;0,2599;0,0039;0,8094
1,94;33,5716;0,2727;0,0011;0,8205
1,96;35,1872;0,251;0,0001;0,7195
1,98;36,5191;0,2129;0,0043;0,5931
2;36,6724;0,2179;0,0045;0,5988
2,02;37,3119;0,1801;0,002;0,4858
2,04;37,2797;0,169;0,0021;0,4529
2,06;36,6957;0,1773;-0,0005;0,4824
2,08;35,3473;0,3238;0,0013;0,8918
2,1;34,5069;0,3552;0,0006;1,0181
2,12;35,0905;0,3197;-0,001;0,9167
2,14;34,7582;0,2841;0,0018;0,8153
2,16;36,0349;0,2486;0,0016;0,7139
2,18;36,1166;0,2192;0,0028;0,588
2,2;34,1977;0,3364;0,003;0,9731
2,22;33,7804;0,3058;0,0017;0,8982
2,24;33,4446;0,3268;0,0003;0,9599
2,26;33,1087;0,2866;-0,001;0,8419
2,28;30,9805;0,3511;0,0002;1,1039
2,3;29,758;0,4024;-0,0007;1,3235
2,32;24,8785;0,3914;0,0008;1,5475
2,34;24,4038;0,3726;-0,0006;1,5179
2,36;22,0408;0,3119;0,0095;1,433
2,38;26,587;0,2828;0,0113;1,0841
2,4;29,8937;0,2346;0,0079;0,7945
2,42;35,2236;0,2352;0,0023;0,6774
2,44;40,2471;0,2453;-0,0053;0,6185
2,46;43,8005;0,2183;-0,0064;0,5088
2,48;43,4726;0,2142;-0,0041;0,4889
2,5;41,6493;0,1828;-0,0028;0,4343
2,52;42,456;0,178;-0,0035;0,4208
2,54;41,9368;0,2101;-0,0028;0,4975
2,56;39,982;0,2641;-0,0018;0,6543
2,58;38,0034;0,2833;-0,0019;0,7405
2,6;35,707;0,2554;-0,0015;0,7142
2,62;36,6248;0,2788;-0,0014;0,7635
2,64;38,0697;0,2378;0,0077;0,6241
2,66;40,9954;0,2139;-0,0013;0,5236
2,68;43,6266;0,2505;-0,002;0,5768
2,7;46,7722;0,2089;-0,0033;0,4496
2,72;47,635;0,1827;-0,0034;0,3844
2,74;48,7057;0,2336;-0,0028;0,482
2,76;48,6501;0,2547;-0,0006;0,5229
2,78;48,5202;0,2275;0,0001;0,4697
2,8;48,6252;0,2529;-0,0011;0,5208
2,82;47,4815;0,2637;-0,0002;0,5467
2,84;48,8814;0,2593;-0,0018;0,5303
2,86;47,3983;0,2401;-0,0015;0,4967
2,88;46,411;0,2198;0,0006;0,474
2,9;47,2122;0,2236;-0,0033;0,4756
2,92;48,0569;0,1762;-0,0025;0,3676
2,94;49,4055;0,1313;-0,0015;0,2712
2,96;50,3701;0,1707;0,0043;0,3433
2,98;49,044;0,2242;0,0017;0,4475
3;47,6952;0,2904;-0,002;0,5998
3,02;45,6666;0,3232;-0,0022;0,694
3,04;43,1945;0,4184;-0,0021;0,9348
3,06;38,0667;0,4188;-0,0034;1,0502
3,08;33,1092;0,3966;-0,0024;1,1486
3,1;24,3773;0,4056;-0,0028;1,63
3,12;19,405;0,3667;-0,002;1,5613
3,14;14,5005;0,3255;0,0092;1,4517
3,16;15,2778;0,2842;0,0231;1,3422
3,18;24,5343;0,2454;0,0378;1,0308
3,2;33,593;0,1654;0,0358;0,5122
3,22;37,2275;0,1402;0,0251;0,3829
3,24;38,3484;0,2363;0,015;0,6455
3,26;39,4692;0,2542;0,0048;0,6944
3,28;40,5979;0,2068;-0,0017;0,5377
3,3;42,113;0,1931;-0,002;0,4611
3,32;40,7581;0,2121;0,0008;0,5114
3,34;36,2143;0,2219;-0,0005;0,5966
3,36;36,0115;0,2259;-0,0005;0,6288
3,38;37,5322;0,2037;-0,0003;0,5484
3,4;39,0619;0,2153;-0,0003;0,5571
3,42;39,4182;0,227;0;0,5794
3,44;38,6141;0,2441;-0,0008;0,6262
3,46;38,6826;0,2636;0,0003;0,6782
3,48;37,7253;0,2425;0,0012;0,6333
3,5;36,0812;0,2551;0,0002;0,7034
3,52;35,3257;0,2566;-0,0004;0,7188
3,54;33,7719;0,2493;0,0001;0,7298
3,56;32,784;0,2689;0,0002;0,8101
3,58;31,8874;0,2701;0,0006;0,8392
3,6;30,6958;0,3474;0,0004;1,1153
3,62;29,2539;0,3613;0,0011;1,2195
3,64;28,637;0,3706;0,0012;1,285
3,66;27,2538;0,3532;0,0011;1,2624
3,68;25,3084;0,3381;0,0006;1,3196
3,7;23,7448;0,3089;-0,0028;1,2686
3,72;22,7049;0,2755;-0,0025;1,2046
3,74;22,0896;0,2037;-0,0021;0,9166
3,76;22,1167;0,1965;-0,0018;0,8857
3,78;21,7996;0,1944;-0,0015;0,8869
3,8;22,2141;0,2178;-0,0008;0,9847
3,82;23,5558;0,1952;-0,0013;0,8364
3,84;26,1663;0,2222;-0,0015;0,8548
3,86;29,3915;0,2489;-0,0008;0,8513
3,88;32,1769;0,3101;-0,0008;0,9721
3,9;35,6352;0,3099;-0,0031;0,8906
3,92;38,3194;0,2821;-0,0035;0,7449
3,94;39,772;0,2575;-0,004;0,6514
3,96;39,7468;0,2707;-0,0028;0,6791
3,98;38,7864;0,2625;-0,0026;0,6715
4;39,4561;0,2759;-0,0026;0,701
4,02;37,2891;0,2544;-0,0017;0,6792
4,04;36,5655;0,2825;-0,0018;0,7683
4,06;35,1724;0,2704;-0,0018;0,7672
4,08;36,3075;0,2711;-0,0001;0,757
4,1;36,1949;0,2278;-0,0005;0,6302
4,12;35,5449;0,1706;-0,0011;0,4796
4,14;34,464;0,1134;-0,0014;0,3291
4,16;32,6202;0,1307;-0,001;0,3999
4,18;32,3994;0,1418;-0,0006;0,4378
4,2;32,3936;0,1184;-0,0008;0,3646
4,22;32,1159;0,1029;-0,0013;0,3169
4,24;31,8382;0,125;-0,0018;0,3847
4,26;31,1251;0,1653;-0,0022;0,5242
4,28;31,3909;0,1846;-0,0025;0,5883
4,3;31,3407;0,2278;-0,0027;0,7355
4,32;29,7216;0,2586;-0,0023;0,8477
4,34;29,1133;0,2929;-0,0025;1,0046
4,36;28,8201;0,3304;-0,0024;1,1348
4,38;28,9087;0,3441;-0,0028;1,1863
4,4;29,8488;0,313;-0,0004;1,0476
4,42;31,2124;0,2727;-0,0016;0,8822
4,44;33,2692;0,2459;-0,0025;0,7442
4,46;34,4176;0,2484;-0,0039;0,7275
4,48;34,6701;0,2272;-0,0036;0,654
4,5;34,5902;0,1376;-0,0034;0,3967
4,52;34,874;0,1788;-0,003;0,5168
4,54;35,6617;0,2083;-0,0024;0,5853
4,56;35,7885;0,2065;-0,003;0,5797
4,58;36,8701;0,2213;-0,0032;0,6072
4,6;35,7961;0,1973;-0,0033;0,5375
4,62;33,4342;0,1849;-0,0031;0,5407
4,64;31,5765;0,1928;-0,003;0,6069
4,66;30,6405;0,1518;-0,0033;0,4874
4,68;28,9865;0,1572;-0,003;0,5309
4,7;27,8236;0,1487;-0,0029;0,527
4,72;27,4207;0,1591;-0,0034;0,5801
4,74;25,952;0,1725;-0,0029;0,6454
4,76;25,5542;0,1656;-0,0034;0,6479
4,78;24,7554;0,1532;-0,0033;0,609
4,8;24,2365;0,1756;-0,0037;0,7181
4,82;23,0716;0,2062;-0,0027;0,8732
4,84;21,4252;0,1901;-0,003;0,8469
4,86;20,4726;0,2431;-0,0036;1,157
4,88;20,3103;0,2357;-0,0029;1,14
4,9;18,6433;0,268;-0,0028;1,3397
4,92;17,2114;0,2703;-0,0027;1,545
4,94;16,4759;0,2135;-0,0036;1,2611
4,96;15,6648;0,1941;-0,0033;1,1997
4,98;14,713;0,1792;-0,0004;1,2115
5;14,2023;0,1368;-0,0006;0,9575
5,02;14,5914;0,1096;-0,0045;0,7627
5,04;14,5163;0,0981;-0,0054;0,6788
5,06;14,8642;0,0969;-0,0064;0,6644
5,08;15,8494;0,0878;-0,01;0,5708
5,1;16,4687;0,0904;-0,0124;0,5476
5,12;17,0519;0,0882;-0,0069;0,52
5,14;17,2023;0,0862;-0,005;0,4944
5,16;17,7265;0,0843;-0,0044;0,4687
5,18;18,9145;0,0824;-0,0044;0,4431
5,2;20,4404;0,1182;-0,0045;0,5874
5,22;21,4709;0,1424;-0,0044;0,6635
5,24;21,4986;0,1344;-0,0043;0,6266
5,26;21,5263;0,1522;-0,0042;0,7092
5,28;21,554;0,1483;-0,004;0,6912
5,3;20,6654;0,1505;-0,0034;0,699
5,32;19,4938;0,1402;-0,0034;0,7076
5,34;18,5279;0,1389;-0,0033;0,7182
5,36;18,241;0,1387;-0,0031;0,7342
5,38;16,9183;0,1378;-0,003;0,8022
5,4;16,2122;0,1402;-0,0028;0,8498
5,42;16,0631;0,1406;-0,0029;0,8725
5,44;15,9301;0,128;-0,0023;0,8027
5,46;16,4547;0,1245;-0,0031;0,7671
5,48;17,6447;0,1045;-0,0029;0,602
5,5;18,7522;0,0925;-0,003;0,4981
5,52;20,7342;0,0887;-0,0042;0,4366
5,54;23,3557;0,1047;-0,007;0,4528
5,56;25,774;0,1191;-0,0097;0,4687
5,58;28,9867;0,124;-0,0094;0,4327
5,6;32,5923;0,1722;-0,0047;0,538
5,62;33,8945;0,2014;-0,0031;0,5956
5,64;34,5525;0,2292;-0,0024;0,6674
5,66;36,6112;0,252;-0,0029;0,6994
5,68;38,1818;0,2469;-0,0029;0,652
5,7;36,8845;0,2554;-0,0017;0,6869
5,72;35,3038;0,3105;-0,0032;0,8852
5,74;34,7426;0,3095;-0,0024;0,886
5,76;36,1819;0,27;-0,0027;0,7593
5,78;35,1927;0,3482;-0,0044;0,9848
5,8;34,6252;0,3765;-0,0011;1,0755
5,82;32,0869;0,4179;-0,003;1,2754
5,84;29,7859;0,4021;-0,0031;1,34
5,86;28,5834;0,3875;-0,005;1,3372
5,88;22,786;0,4094;0,0031;1,8095
5,9;24,5332;0,4281;0,0033;1,8295
5,92;27,6297;0,3572;-0,002;1,3246
5,94;29,6708;0,3354;-0,0051;1,1625
5,96;29,1481;0,2465;-0,002;0,8246
5,98;28,6377;0,2003;-0,0021;0,6963
6;28,7289;0,1659;-0,0031;0,5791
6,02;29,061;0,1398;-0,002;0,4857
6,04;30,1113;0,1208;-0,0028;0,4014
6,06;30,8346;0,1439;-0,0026;0,4696
6,08;31,5041;0,1282;-0,0022;0,4056
6,1;31,1995;0,1191;-0,003;0,3784
6,12;31,3701;0,1099;-0,0026;0,3513
6,14;30,8006;0,1007;-0,0021;0,3241
6,16;28,8371;0,0948;-0,0044;0,3162
6,18;26,1103;0,1088;-0,0019;0,4078
6,2;26,8254;0,1174;-0,0021;0,4448
6,22;27,457;0,1284;-0,0023;0,4864
6,24;28,0885;0,1585;-0,0025;0,6004
6,26;28,7201;0,1711;-0,0034;0,621
6,28;29,6202;0,1795;-0,0029;0,6072
6,3;31,2859;0,1662;-0,0033;0,5381
6,32;32,6434;0,1573;-0,003;0,4841
6,34;32,8403;0,1644;-0,0026;0,504
6,36;34,6465;0,1822;-0,0023;0,5266
6,38;34,56;0,2806;-0,0022;0,8129
6,4;35,3855;0,252;-0,0029;0,7161
6,42;36,2056;0,2568;-0,0034;0,7086
6,44;37,8088;0,2702;-0,0033;0,718
6,46;36,9456;0,2885;-0,0027;0,8097
6,48;36,8501;0,268;-0,0025;0,7136
6,5;36,3756;0,2386;-0,0024;0,6555
6,52;35,0368;0,2346;-0,0024;0,6562
6,54;35,6573;0,2124;-0,0026;0,5982
6,56;35,5918;0,2023;-0,0024;0,5721
6,58;35,7288;0,2224;-0,0017;0,627
6,6;35,4025;0,2341;-0,0027;0,6539
6,62;33,7132;0,2158;-0,0024;0,6398
6,64;32,4204;0,2209;-0,0014;0,6829
6,66;32,4681;0,2059;-0,0027;0,6296
6,68;34,8148;0,1942;-0,0018;0,5798
6,7;37,5839;0,2012;-0,0023;0,5533
6,72;41,7009;0,1898;-0,0016;0,4778
6,74;45,647;0,1987;-0,0016;0,441
6,76;48,3226;0,1689;-0,0008;0,3503
6,78;50,1432;0,2281;-0,0023;0,4563
6,8;51,1422;0,2731;-0,0031;0,5352
6,82;50,6262;0,3205;-0,0028;0,6328
6,84;49,669;0,3229;-0,0018;0,6487
6,86;48,5521;0,2763;-0,0011;0,5611
6,88;46,4422;0,2564;-0,0016;0,5414
6,9;45,4819;0,1904;-0,002;0,4187
6,92;45,1361;0,176;-0,0009;0,3896
6,94;46,034;0,2049;-0,0016;0,4487
6,96;47,3688;0,2526;-0,002;0,5361
6,98;50,6239;0,275;-0,0025;0,5491
7;51,9951;0,3032;-0,0026;0,5804
7,02;46,8338;0,3091;-0,002;0,641
7,04;44,2614;0,2973;-0,0022;0,6754
7,06;43,8985;0,215;-0,0024;0,4878
7,08;42,2111;0,2031;-0,0025;0,4762
7,1;40,2176;0,1815;-0,0025;0,4387
7,12;38,8882;0,1599;-0,0022;0,4013
7,14;35,9496;0,1384;-0,0024;0,3638
7,16;35,0987;0,1168;-0,0025;0,3263
7,18;32,5038;0,138;-0,0023;0,4082
7,2;31,4288;0,1739;-0,0025;0,5392
7,22;30,2459;0,1822;-0,0027;0,5652
7,24;29,063;0,164;-0,0029;0,5088
7,26;27,8802;0,1634;-0,0031;0,5069
7,28;26,5996;0,1549;-0,0031;0,5625
7,3;25,7634;0,1622;-0,0032;0,6245
7,32;24,1151;0,1758;-0,0032;0,7064
7,34;22,477;0,1931;-0,0032;0,8422
7,36;20,854;0,1765;-0,0033;0,8202
7,38;20,0726;0,1656;-0,0033;0,8174
7,4;19,6435;0,1494;-0,0033;0,7597
7,42;19,5655;0,126;-0,0034;0,6441
7,44;19,8617;0,1301;-0,0034;0,655
7,46;20,5976;0,1174;-0,0034;0,5702
7,48;23,473;0,161;-0,0033;0,7282
7,5;27,6885;0,1525;-0,0032;0,5541
7,52;32,4621;0,1201;-0,0033;0,3758
7,54;35,9638;0,1457;-0,0032;0,4071
7,56;39,9801;0,1567;-0,0031;0,3956
7,58;41,6267;0,2011;-0,0031;0,4841
7,6;41,7143;0,1971;-0,0033;0,472
7,62;42,0699;0,1769;-0,0033;0,4225
7,64;42,4248;0,2322;-0,003;0,5448
7,66;42,2283;0,2278;-0,0032;0,5394
7,68;42,4399;0,2469;-0,0032;0,5844
7,7;42,5072;0,2607;-0,0032;0,6161
7,72;43,4805;0,2419;-0,0031;0,5562
7,74;40,8071;0,2684;-0,003;0,6454
7,76;39,8841;0,2937;-0,0031;0,7319
7,78;38,8977;0,2976;-0,0032;0,7612
7,8;36,6345;0,2994;-0,0031;0,8064
7,82;34,2051;0,287;-0,0034;0,8302
7,84;30,79;0,2594;-0,0036;0,822
7,86;29,4051;0,2413;-0,0037;0,8193
7,88;29,317;0,2567;-0,0035;0,8649
7,9;28,8533;0,2378;-0,0037;0,827
7,92;29,394;0,1839;-0,0035;0,6357
7,94;30,3337;0,1673;-0,0033;0,5577
7,96;29,9043;0,169;-0,0033;0,556
7,98;29,2405;0,1736;-0,0032;0,5938
8;28,7863;0,1976;-0,0032;0,6861
8,02;29,2675;0,1299;-0,0033;0,4462
8,04;28,5728;0,1305;-0,0032;0,4523
8,06;28,4679;0,1351;-0,0033;0,4752
8,08;27,9403;0,1384;-0,0033;0,4927
8,1;27,4869;0,1339;-0,0033;0,4807
8,12;27,6054;0,1295;-0,0033;0,4673
8,14;26,9313;0,1252;-0,0033;0,454
