Projektnummer           ;FCH-23250 - Geoterra Kft. - Ferihegy;;;
8,16;26,6434;0,1208;-0,0031;0,4406
8,18;26,4629;0,1164;-0,0032;0,4273
8,2;26,5302;0,112;-0,003;0,4139
8,22;25,6411;0,1192;-0,0029;0,4423
8,24;24,7521;0,1361;-0,0027;0,5049
8,26;23,863;0,1468;-0,0025;0,5448
8,28;22,974;0,1399;-0,0024;0,5191
8,3;22,0849;0,1396;-0,0022;0,518
8,32;21,1958;0,1518;-0,0021;0,6537
8,34;20,9976;0,1613;-0,002;0,7673
8,36;21,5679;0,1624;-0,002;0,7603
8,38;22,4005;0,1566;-0,002;0,7041
8,4;23,185;0,1493;-0,0019;0,6477
8,42;24,0061;0,1515;-0,0019;0,6359
8,44;24,8572;0,1521;-0,0019;0,6166
8,46;25,5034;0,1749;-0,0018;0,69
8,48;25,9647;0,1848;-0,0018;0,7133
8,5;26,1768;0,2028;-0,0018;0,7756
8,52;26,2716;0,2409;-0,0018;0,9166
8,54;26,2629;0,2647;-0,0017;1,0068
8,56;25,7482;0,2704;-0,002;1,0439
8,58;25,2402;0,3593;-0,0016;1,4221
8,6;25,1941;0,3331;-0,0017;1,32
8,62;23,8716;0,2871;-0,0019;1,1775
8,64;23,5113;0,2658;-0,0019;1,1347
8,66;23,2103;0,2017;-0,0014;0,8521
8,68;21,3873;0,1821;-0,002;0,8346
8,7;19,5158;0,1556;-0,0018;0,7792
8,72;18,9959;0,1049;-0,0019;0,5448
8,74;18,0134;0,1012;-0,0017;0,5375
8,76;17,0607;0,1015;-0,002;0,5722
8,78;15,8368;0,1101;-0,002;0,6821
8,8;14,8541;0,1007;-0,0019;0,6678
8,82;13,6496;0,0998;-0,0019;0,6964
8,84;12,512;0,1025;-0,002;0,7885
8,86;11,4715;0,098;-0,002;0,8316
8,88;10,4364;0,0755;-0,0021;0,6959
8,9;9,4356;0,0723;-0,002;0,7256
8,92;8,5506;0,0777;-0,002;0,8679
8,94;7,7522;0,0816;-0,002;1,0544
8,96;7,2022;0,0783;-0,0021;1,0633
8,98;6,771;0,0751;-0,0021;1,0941
9;6,4847;0,0724;-0,002;1,093
9,02;6,2546;0,0741;-0,0021;1,1751
9,04;6,0503;0,074;-0,0021;1,2028
9,06;5,9067;0,0713;-0,0021;1,1966
9,08;5,7615;0,0708;-0,0022;1,2119
9,1;5,6524;0,0702;-0,0021;1,2272
9,12;5,5488;0,0697;-0,0022;1,2424
9,14;5,5089;0,0696;-0,0022;1,2619
9,16;5,488;0,0709;-0,0022;1,2925
9,18;5,4373;0,0718;-0,0022;1,3089
9,2;5,3792;0,0725;-0,0022;1,3228
9,22;5,321;0,0734;-0,0023;1,3389
9,24;5,2628;0,0745;-0,0022;1,3582
9,26;5,2474;0,0779;-0,0022;1,4833
9,28;5,2636;0,0798;-0,0022;1,5201
9,3;5,3182;0,0809;-0,0022;1,5304
9,32;5,3797;0,0817;-0,0022;1,5252
9,34;5,4398;0,083;-0,0022;1,5327
9,36;5,495;0,0843;-0,0022;1,5391
9,38;5,539;0,084;-0,0022;1,5205
9,4;5,5811;0,084;-0,0021;1,5082
9,42;5,5907;0,0844;-0,0022;1,5098
9,44;5,5968;0,0849;-0,0021;1,5189
9,46;5,6198;0,0854;-0,0021;1,5216
9,48;5,6494;0,0861;-0,002;1,5271
9,5;5,6845;0,0861;-0,002;1,5178
9,52;5,6848;0,0868;-0,002;1,5272
9,54;5,6795;0,0879;-0,002;1,5469
9,56;5,6999;0,0884;-0,002;1,5553
9,58;5,7321;0,089;-0,0019;1,5575
9,6;5,743;0,0884;-0,0019;1,5378
9,62;5,73;0,0886;-0,0019;1,5455
9,64;5,6984;0,0891;-0,0019;1,5602
9,66;5,639;0,0891;-0,0019;1,5704
9,68;5,5496;0,0888;-0,0018;1,5884
9,7;5,4694;0,0889;-0,0018;1,616
9,72;5,4447;0,0902;-0,0018;1,6536
9,74;5,4391;0,0915;-0,0018;1,6816
9,76;5,4271;0,0928;-0,0019;1,7094
9,78;5,4026;0,0948;-0,0019;1,7503
9,8;5,3388;0,0975;-0,0019;1,8168
9,82;5,2311;0,1011;-0,0023;1,9184
9,84;5,101;0,1046;-0,0028;2,0317
9,86;4,9993;0,1099;-0,0033;2,1828
9,88;4,9604;0,1208;-0,0027;2,4318
9,9;4,9635;0,1368;-0,002;2,7539
9,92;4,889;0,1424;-0,0005;2,8863
9,94;4,6956;0,1391;0,0003;2,8988
9,96;4,1975;0,1365;0,0025;3,1051
9,98;3,7597;0,1278;0,0056;3,302
10;3,6715;0,1171;0,0119;3,2274
10,02;4,2595;0,1081;0,012;2,713
10,04;5,2979;0,0997;0,0066;2,1382
10,06;6,1935;0,0919;0,0043;1,7868
10,08;6,6887;0,084;0,0011;1,4354
10,1;6,9217;0,0779;-0,0009;1,127
10,12;6,8345;0,1063;-0,0014;1,5451
10,14;6,2805;0,1288;-0,0014;2,0308
10,16;5,3134;0,1411;-0,0012;2,2332
10,18;4,3463;0,1401;-0,0011;2,2178
10,2;3,3792;0,1285;-0,0009;2,0348
10,22;2,6334;0,1192;-0,0007;4,3288
10,24;2,1268;0,1116;-0,0006;5,16
10,26;1,7977;0,0991;-0,0003;5,4919
10,28;1,5791;0,0859;-0,0003;5,204
10,3;1,5738;0,0809;0,0005;5,1227
10,32;1,6753;0,0703;0,0025;4,3063
10,34;1,6268;0,0639;0,0047;3,8344
10,36;1,5498;0,0649;0,0063;4,1555
10,38;1,609;0,0688;0,0078;4,4466
10,4;1,8481;0,0721;0,0109;4,1164
10,42;2,0073;0,0728;0,0125;3,7649
10,44;2,1649;0,0754;0,0128;3,5911
10,46;2,2322;0,0778;0,014;3,5095
10,48;2,2089;0,0844;0,0175;3,7787
10,5;2,1244;0,0848;0,0249;3,9282
10,52;2,029;0,0868;0,0298;4,2312
10,54;2,0094;0,0961;0,0314;4,7983
10,56;2,1616;0,1017;0,0332;4,901
10,58;3,0423;0,1051;0,0358;3,9985
10,6;4,7852;0,1066;0,0363;2,5297
10,62;6,189;0,1084;0,0444;1,8794
10,64;7,47;0,1102;0,0379;1,5585
10,66;8,7428;0,1093;0,0123;1,3201
10,68;9,8616;0,1019;0,0023;1,0687
10,7;10,6199;0,1001;0,0016;0,9618
10,72;11,1124;0,1046;0,0011;0,9547
10,74;11,4943;0,1131;0,0007;0,9937
10,76;11,7855;0,1195;0,0002;1,0204
10,78;11,9607;0,1257;-0,0002;1,0543
10,8;11,951;0,1323;-0,0003;1,1056
10,82;11,8862;0,1372;-0,0004;1,1519
10,84;11,7665;0,1397;-0,0003;1,1833
10,86;11,6876;0,1408;-0,0004;1,2034
10,88;11,6369;0,1413;-0,0003;1,2118
10,9;11,5606;0,1401;-0,0003;1,2089
10,92;11,5473;0,1392;-0,0003;1,2049
10,94;11,5708;0,1398;-0,0003;1,2097
10,96;11,6456;0,1414;-0,0003;1,2169
10,98;11,7211;0,1427;-0,0003;1,2201
11;11,8761;0,1424;-0,0002;1,2025
11,02;12,0794;0,1377;-0,0002;1,1471
11,04;12,2893;0,1329;-0,0001;1,0917
11,06;12,4436;0,1282;-0,0002;1,0363
11,08;12,5568;0,1285;-0,0001;1,0262
11,1;12,6971;0,1334;-0,0001;1,0548
11,12;12,8659;0,1371;0;1,075
11,14;13,0279;0,1406;0;1,1025
11,16;13,1898;0,142;0;1,1134
11,18;13,3444;0,1444;-0,0001;1,1047
11,2;13,4421;0,1491;-0,0001;1,1115
11,22;13,4946;0,151;0;1,121
11,24;13,6393;0,1542;-0,0001;1,1353
11,26;13,9319;0,1566;-0,0002;1,1316
11,28;14,2645;0,1579;-0,0001;1,1144
11,3;14,4927;0,1608;-0,0002;1,1133
11,32;14,5217;0,1631;-0,0002;1,1208
11,34;14,364;0,163;-0,0002;1,1295
11,36;14,2509;0,1638;-0,0001;1,1491
11,38;14,3574;0,1641;-0,0002;1,1481
11,4;14,6739;0,1637;-0,0001;1,123
11,42;15,0516;0,1649;-0,0001;1,103
11,44;15,3758;0,1711;-0,0001;1,1173
11,46;15,5362;0,1773;-0,0001;1,1437
11,48;15,6429;0,1797;-0,0001;1,1506
11,5;15,8189;0,1792;-0,0002;1,1367
11,52;16,0557;0,178;-0,0001;1,1128
11,54;16,2539;0,1806;-0,0002;1,1149
11,56;16,5022;0,1834;-0,0002;1,1165
11,58;16,9253;0,1829;-0,0002;1,088
11,6;17,3856;0,1835;0;1,0616
11,62;17,9416;0,1876;0,0002;1,0528
11,64;18,5522;0,1959;0,0001;1,0655
11,66;19,1228;0,2008;0;1,0573
11,68;19,5717;0,1986;0;1,0196
11,7;19,78;0,1997;0;1,0105
11,72;19,6513;0,1995;-0,0001;1,0113
11,74;19,2649;0,1959;-0,0002;1,0105
11,76;18,8413;0,1904;-0,0002;1,0055
11,78;18,4585;0,1853;-0,0003;0,9987
11,8;18,0947;0,1791;-0,0004;0,9851
11,82;17,696;0,1788;-0,0002;1,0034
11,84;17,2588;0,1788;-0,0002;1,0293
11,86;16,773;0,1762;-0,0004;1,042
11,88;16,3652;0,1717;-0,0004;1,0434
11,9;16,197;0,1695;-0,0004;1,0461
11,92;16,3682;0,1769;-0,0004;1,0827
11,94;16,967;0,1853;-0,0004;1,0986
11,96;17,7601;0,1829;-0,0003;1,0355
11,98;18,8837;0,167;-0,0001;0,8998
12;20,2835;0,15;-0,0002;0,7589
12,02;21,7363;0,133;-0,0004;0,618
12,04;22,026;0,1082;-0,0006;0,4909
12,06;21,4036;0,1182;-0,0009;0,5499
12,08;20,8548;0,1293;-0,0008;0,6027
12,1;19,6683;0,1354;-0,0008;0,6316
12,12;18,4817;0,1295;-0,0008;0,604
12,14;17,6965;0,1142;-0,001;0,6395
12,16;16,6614;0,1238;-0,001;0,7212
12,18;15,9696;0,1477;-0,001;0,9034
12,2;14,9971;0,1997;-0,0011;1,2963
12,22;13,6209;0,2801;-0,0011;1,9572
12,24;11,7641;0,3047;-0,0012;2,4583
12,26;9,7437;0,283;-0,0012;2,7424
12,28;8,3724;0,2585;-0,0012;2,97
12,3;7,4736;0,2477;-0,0013;3,2569
12,32;7,1896;0,2368;-0,0011;3,3185
12,34;8,6502;0,2213;-0,0011;2,6527
12,36;12,7988;0,2058;0,0053;1,6674
12,38;16,7801;0,176;0,0035;1,0584
12,4;19,639;0,161;0;0,8298
12,42;22,0774;0,1434;-0,0011;0,6542
12,44;24,0246;0,1427;-0,0011;0,5987
12,46;25,8674;0,1373;-0,0004;0,5322
12,48;27,227;0,1646;-0,001;0,6055
12,5;28,1728;0,153;-0,0009;0,5441
12,52;29,1017;0,1628;-0,0008;0,56
12,54;30,2148;0,1655;-0,0009;0,5485
12,56;31,3693;0,1627;-0,0006;0,5203
12,58;32,4906;0,1546;-0,0006;0,4767
12,6;33,4956;0,165;-0,0009;0,493
12,62;34,2849;0,1705;-0,0003;0,4973
12,64;34,3416;0,1613;-0,0007;0,4696
12,66;34,2842;0,1489;-0,0006;0,4343
12,68;34,6129;0,1503;-0,001;0,4342
12,7;34,4663;0,1636;-0,0008;0,4746
12,72;34,9614;0,1757;-0,0008;0,5026
12,74;35,3105;0,1782;-0,0006;0,5046
12,76;35,5752;0,1815;-0,0007;0,5099
12,78;35,8033;0,1943;-0,0007;0,5412
12,8;35,6749;0,1966;-0,0007;0,551
12,82;35,1768;0,1849;-0,0008;0,524
12,84;34,5145;0,174;-0,0007;0,5036
12,86;33,4883;0,1897;-0,0006;0,5663
12,88;32,8033;0,1845;-0,0008;0,5631
12,9;32,6514;0,1828;-0,0009;0,5592
12,92;34,1254;0,1701;-0,0006;0,4985
12,94;35,5384;0,1588;-0,0008;0,4601
12,96;36,2408;0,1499;-0,0006;0,431
12,98;36,644;0,1411;-0,0007;0,4018
13;36,2364;0,1322;-0,0007;0,3726
13,02;35,4715;0,1228;-0,0007;0,3458
13,04;34,1734;0,1141;-0,0008;0,3308
13,06;33,5134;0,1354;-0,0009;0,3923
13,08;32,8533;0,1493;-0,0011;0,4326
13,1;32,1933;0,1447;-0,0012;0,4193
13,12;31,5694;0,1509;-0,0013;0,4758
13,14;32,0872;0,1634;-0,0013;0,5095
13,16;32,327;0,1392;-0,0016;0,4313
13,18;33,2677;0,1503;-0,0012;0,4519
13,2;33,446;0,1409;-0,0014;0,4208
13,22;34,837;0,1555;-0,0015;0,4467
13,24;36,0559;0,1573;-0,0016;0,4361
13,26;36,4918;0,156;-0,0015;0,4279
13,28;35,7145;0,1434;-0,0015;0,4015
13,3;36,1521;0,1451;-0,0016;0,4011
13,32;36,8851;0,1507;-0,0017;0,4088
13,34;37,8851;0,1558;-0,0018;0,4111
13,36;39,4169;0,1531;-0,0019;0,3884
13,38;40,4737;0,1749;-0,0016;0,4318
13,4;40,942;0,1736;-0,0016;0,4248
13,42;41,3954;0,1905;-0,0016;0,4606
13,44;40,4876;0,2065;-0,0017;0,5091
13,46;39,8475;0,1926;-0,0015;0,4828
13,48;38,7868;0,2155;-0,0017;0,5514
13,5;37,2956;0,1933;-0,0019;0,5143
13,52;35,5221;0,1745;-0,0018;0,4844
13,54;33,0935;0,1565;-0,0017;0,4635
13,56;31,4067;0,1417;-0,0019;0,4431
13,58;30,0982;0,1182;-0,0018;0,3804
13,6;28,0746;0,1078;-0,0019;0,3822
13,62;26,3859;0,0916;-0,0019;0,3433
13,64;24,5622;0,0926;-0,002;0,3696
13,66;23,2314;0,0697;-0,0023;0,2964
13,68;22,6137;0,058;-0,0023;0,2546
13,7;21,1705;0,0527;-0,0023;0,2447
13,72;20,2047;0,0501;-0,0024;0,2445
13,74;19,3381;0,0484;-0,0022;0,2465
13,76;18,2632;0,0421;-0,0025;0,2267
13,78;17,2644;0,0369;-0,0026;0,2091
13,8;16,4108;0,0485;-0,0025;0,2926
13,82;16,0134;0,0391;-0,0026;0,2392
13,84;15,9358;0,0442;-0,0024;0,2763
13,86;15,6499;0,0531;-0,0024;0,3402
13,88;16,0677;0,0569;-0,0024;0,3566
13,9;15,8029;0,0481;-0,0025;0,2986
13,92;16,6499;0,0394;-0,0026;0,2405
13,94;17,2072;0,0306;-0,0025;0,1825
13,96;17,5081;0,0218;-0,0025;0,1245
13,98;17,3171;0,0358;-0,0025;0,2049
14;16,616;0,0595;-0,0025;0,3456
14,02;15,8726;0,0499;-0,0026;0,2902
14,04;15,1291;0,0593;-0,0027;0,3446
14,06;14,3857;0,0284;-0,0028;0,1649
14,08;13,6785;0,0393;-0,0028;0,2833
14,1;12,9243;0,0569;-0,0031;0,4402
14,12;13,3876;0,0781;-0,0031;0,585
14,14;12,4607;0,1063;-0,0031;0,851
14,16;14,938;0,1386;-0,0035;0,9673
14,18;15,3634;0,1521;-0,0029;0,9895
14,2;15,4574;0,1616;-0,0027;1,0316
14,22;15,4407;0,1698;-0,0027;1,0977
14,24;15,6899;0,1588;-0,0029;1,02
14,26;16,3786;0,1253;-0,0025;0,773
14,28;17,1407;0,1027;-0,0032;0,6033
14,3;17,5334;0,0948;-0,0026;0,5418
14,32;17,69;0,0991;-0,0038;0,5622
14,34;17,5889;0,1041;-0,0029;0,5901
14,36;17,3616;0,1078;-0,0057;0,6188
14,38;17,311;0,1109;-0,0075;0,6421
14,4;17,6029;0,1163;-0,0093;0,6642
14,42;18,0254;0,1225;-0,0108;0,683
14,44;18,3916;0,1223;-0,012;0,6673
14,46;18,6833;0,1168;-0,0182;0,6263
14,48;18,8153;0,1079;-0,0306;0,5742
14,5;18,972;0,1036;-0,0376;0,5466
14,52;19,0347;0,1035;-0,0401;0,5439
14,54;19,0699;0,1064;-0,0405;0,5581
14,56;19,0975;0,1146;-0,0407;0,6005
14,58;19,3436;0,1372;-0,0413;0,7135
14,6;20,2201;0,143;-0,0412;0,7161
14,62;22,2843;0,1543;-0,0406;0,7121
14,64;26,2375;0,1617;-0,0404;0,6398
14,66;32,1176;0,198;-0,0412;0,6553
14,68;37,5707;0,2629;-0,0473;0,6916
14,7;42,4952;0,2667;-0,0563;0,627
14,72;40,9144;0,2534;-0,0623;0,6204
14,74;40,0818;0,2536;-0,056;0,6335
14,76;40,8237;0,2444;-0,0639;0,5997
14,78;40,0751;0,2604;-0,0661;0,6496
14,8;41,6138;0,2591;-0,0742;0,6205
14,82;44,2866;0,2453;-0,0766;0,5641
14,84;47,5671;0,1614;-0,0772;0,3481
14,86;52,4377;0,1364;-0,0786;0,2762
14,88;55,5174;0,1115;-0,0792;0,2043
14,9;60,4006;0,1098;-0,0789;0,1853
14,92;64,6099;0,1129;-0,0779;0,1745
14,94;68,0651;0,1549;-0,0778;0,2292
14,96;70,1259;0,1696;-0,0667;0,2454
14,98;71,5643;0,2201;-0,0557;0,3185
15;73,7452;0,2325;-0,0566;0,3158
15,02;74,5799;0,2225;-0,0578;0,2975
15,04;74,5284;0,2005;-0,0651;0,2696
15,06;75,2162;0,2558;-0,066;0,3425
15,08;76,3245;0,2738;-0,0654;0,3591
15,1;75,0698;0,2883;-0,0648;0,3811
15,12;75,418;0,2443;-0,0638;0,3246
15,14;77,3636;0,1974;-0,0636;0,2567
15,16;74,3958;0,2182;-0,0646;0,2897
15,18;73,0688;0,2667;-0,0678;0,3649
15,2;73,9779;0,2686;-0,0681;0,3635
15,22;73,6606;0,2427;-0,0681;0,325
15,24;71,0848;0,2723;-0,0681;0,3833
15,26;69,3729;0,2853;-0,0666;0,4078
15,28;69,2336;0,2745;-0,0676;0,396
15,3;70,3922;0,304;-0,0663;0,4339
15,32;71,7474;0,2471;-0,0656;0,3447
15,34;71,9671;0,2234;-0,0669;0,3099
15,36;71,6815;0,1452;-0,067;0,2018
15,38;72,3966;0,0952;-0,0674;0,1317
15,4;71,6742;0,0929;-0,0678;0,1297
15,42;71,0205;0,1146;-0,0677;0,1608
15,44;69,3721;0,1266;-0,0543;0,1825
15,46;69,5539;0,1196;-0,0238;0,1724
15,48;70,0216;0,1335;-0,0207;0,1902
15,5;69,8683;0,1387;-0,0498;0,1983
15,52;71,4277;0,1612;-0,0544;0,226
15,54;71,4602;0,1879;-0,0546;0,2622
15,56;72,2013;0,2117;-0,0559;0,2928
15,58;72,1781;0,1898;-0,0567;0,2629
15,6;72,4599;0,2593;-0,0572;0,3577
15,62;72,9902;0,281;-0,057;0,385
15,64;72,8573;0,2705;-0,0574;0,3716
15,66;74,2925;0,265;-0,0575;0,36
15,68;73,3486;0,2491;-0,0572;0,3402
15,7;71,4767;0,2099;-0,0564;0,2942
15,72;68,4759;0,1554;-0,0576;0,227
15,74;65,7278;0,1246;-0,0576;0,1885
15,76;62,9462;0,1374;-0,0613;0,2188
15,78;62,6127;0,1482;-0,0637;0,2351
15,8;61,961;0,147;-0,0653;0,2373
15,82;62,1728;0,1568;-0,066;0,2513
15,84;63,0213;0,1547;-0,0656;0,2456
15,86;65,2436;0,155;-0,065;0,2411
15,88;67,309;0,1653;-0,0644;0,2447
15,9;70,678;0,2144;-0,0646;0,3006
15,92;73,4937;0,2268;-0,0652;0,3095
15,94;74,0239;0,1332;-0,0655;0,1817
15,96;74,554;0,0594;-0,0658;0,0804
15,98;74,6219;0,0712;-0,0658;0,0951
16;75,8152;0,1164;-0,0658;0,1564
16,02;77,2592;0,122;-0,0538;0,1578
16,04;72,8442;0,1491;0,0034;0,1925
16,06;67,5243;0,2215;0,0415;0,3052
16,08;66,2694;0,1718;-0,0464;0,2586
16,1;66,3052;0,15;-0,0447;0,2266
16,12;67,1343;0,1904;-0,0404;0,2842
16,14;65,0889;0,2114;-0,0423;0,327
16,16;64,5474;0,2539;-0,0425;0,3895
16,18;61,8249;0,2867;-0,0428;0,4627
16,2;63,3099;0,3239;-0,0445;0,5122
16,22;61,6195;0;0;0
16,24;58,79;0;0;0
16,26;61,239;0;0;0
16,28;65,3324;0;0;0
16,3;69,4432;0;0;0
16,31;70,3341;0;0;0
